sample_type,sample_num,replicate,nm_938.8510000000001,nm_943.335,nm_947.8610000000001,nm_952.429,nm_957.038,nm_961.687,nm_966.3760000000001,nm_971.105,nm_975.872,nm_980.678,nm_985.52,nm_990.4,nm_995.316,nm_1000.268,nm_1005.255,nm_1010.2769999999999,nm_1015.332,nm_1020.421,nm_1025.542,nm_1030.6960000000001,nm_1035.881,nm_1041.097,nm_1046.343,nm_1051.619,nm_1056.924,nm_1062.258,nm_1067.619,nm_1073.008,nm_1078.424,nm_1083.865,nm_1089.3319999999999,nm_1094.8239999999998,nm_1100.3410000000001,nm_1105.881,nm_1111.444,nm_1117.029,nm_1122.637,nm_1128.266,nm_1133.915,nm_1139.585,nm_1145.274,nm_1150.982,nm_1156.7089999999998,nm_1162.453,nm_1168.214,nm_1173.992,nm_1179.785,nm_1185.594,nm_1191.4180000000001,nm_1197.255,nm_1203.106,nm_1208.97,nm_1214.847,nm_1220.735,nm_1226.634,nm_1232.5439999999999,nm_1238.463,nm_1244.392,nm_1250.33,nm_1256.275,nm_1262.228,nm_1268.188,nm_1274.155,nm_1280.127,nm_1286.104,nm_1292.085,nm_1298.0710000000001,nm_1304.06,nm_1310.0510000000002,nm_1316.045,nm_1322.04,nm_1328.036,nm_1334.0320000000002,nm_1340.0279999999998,nm_1346.023,nm_1352.016,nm_1358.007,nm_1363.996,nm_1369.9820000000002,nm_1375.963,nm_1381.94,nm_1387.912,nm_1393.878,nm_1399.838,nm_1405.79,nm_1411.736,nm_1417.6729999999998,nm_1423.601,nm_1429.521,nm_1435.43,nm_1441.329,nm_1447.2160000000001,nm_1453.092,nm_1458.9560000000001,nm_1464.807,nm_1470.644,nm_1476.467,nm_1482.275,nm_1488.068,nm_1493.845,nm_1499.606,nm_1505.349,nm_1511.075,nm_1516.7820000000002,nm_1522.471,nm_1528.14,nm_1533.7879999999998,nm_1539.4160000000002,nm_1545.023,nm_1550.608,nm_1556.17,nm_1561.71,nm_1567.225,nm_1572.7160000000001,nm_1578.182,nm_1583.6229999999998,nm_1589.0379999999998,nm_1594.425,nm_1599.786,nm_1605.118,nm_1610.422,nm_1615.6970000000001,nm_1620.943,nm_1626.1570000000002,nm_1631.3410000000001,nm_1636.494,nm_1641.614,nm_1646.701
HDPE,4,1,0.84180791,0.794188862,0.885391445,0.930051116,0.949152542,0.963142319,0.945655098,1,0.965832661,0.977939198,0.963949422,0.952380952,0.966908797,0.930320151,0.928436911,0.945386064,0.911756793,0.912025827,0.89346247,0.888081786,0.891579231,0.871132634,0.859833199,0.873284907,0.864137745,0.8708636,0.882432069,0.855797686,0.860102233,0.852031208,0.871401668,0.85794996,0.840462739,0.855797686,0.829970406,0.844767285,0.839117568,0.845843422,0.834813021,0.820016142,0.81086898,0.790153349,0.800376648,0.748184019,0.743879473,0.701372074,0.649986548,0.597255851,0.585687382,0.560667205,0.495560936,0.423459779,0.401129944,0.310465429,0.216303471,0.115146624,0.009147162,0,0.066451439,0.193973635,0.315846112,0.397363465,0.479956955,0.505784235,0.545332257,0.567124025,0.589991929,0.592951305,0.602905569,0.587839656,0.622814097,0.603443637,0.608555287,0.616088243,0.595372612,0.602636535,0.623083132,0.606672047,0.608286252,0.603981706,0.603981706,0.593758407,0.596179715,0.587032553,0.573849879,0.561205273,0.515738499,0.526499865,0.469733656,0.432337907,0.367500673,0.270917407,0.146085553,0.090664514,0.168415389,0.186709712,0.136669357,0.085821899,0.066720474,0.071563089,0.103847189,0.109227872,0.110034974,0.164110842,0.176486414,0.218724778,0.237019101,0.256120527,0.282485876,0.312886737,0.324186172,0.318536454,0.337906914,0.371536185,0.352703793,0.353510896,0.375571698,0.364810331,0.337099812,0.347861178,0.347592144,0.318536454,0.307775087,0.321226796,0.333333333,0.344363734,0.35700834,0.364810331
HDPE,4,2,0.863335783,0.832843497,0.910727406,0.944526084,0.959588538,0.968038207,0.952608376,1,0.973181484,0.982733284,0.972079353,0.961058046,0.979059515,0.945628215,0.945260838,0.957016899,0.923952976,0.925422483,0.913299045,0.909625276,0.909257899,0.888684791,0.881337252,0.896767083,0.888684791,0.895297575,0.908890522,0.888684791,0.894930198,0.889419544,0.904849375,0.897501837,0.883174137,0.899706098,0.878765614,0.890521675,0.885745775,0.894195445,0.883174137,0.871785452,0.86480529,0.842762675,0.845334313,0.795371051,0.783982366,0.732916973,0.658706833,0.616458486,0.611682586,0.572740632,0.497428361,0.428361499,0.394195445,0.287656135,0.182586334,0.079720794,0,0.022042616,0.124540779,0.260102866,0.383541514,0.465099192,0.546289493,0.578251286,0.620132256,0.646583395,0.67229978,0.685157972,0.694342395,0.684790595,0.717487142,0.703894195,0.711976488,0.723365173,0.707567965,0.712711242,0.735121234,0.72483468,0.729243204,0.731080088,0.731080088,0.721895665,0.726304188,0.718221896,0.700587803,0.682586334,0.638501102,0.63152094,0.562454078,0.510286554,0.420279206,0.294636297,0.154665687,0.18185158,0.251653196,0.24283615,0.171932403,0.13997061,0.132623071,0.145848641,0.176708303,0.186994857,0.204628949,0.26193975,0.283614989,0.328802351,0.355988244,0.384643644,0.421748714,0.455914769,0.472079353,0.473548861,0.500734754,0.529390154,0.518736223,0.524246877,0.542983101,0.533063924,0.510653931,0.517266716,0.516899339,0.492652461,0.4761205,0.502939015,0.527185893,0.540044085,0.555841293,0.568332109
HDPE,4,3,0.809319436,0.757204169,0.871857756,0.911710607,0.935622318,0.946658492,0.92213366,1,0.955242183,0.979767014,0.967504598,0.946658492,0.979153893,0.931943593,0.933782955,0.957081545,0.911097486,0.917228694,0.902513795,0.899448191,0.907418761,0.881054568,0.875536481,0.903126916,0.889025138,0.900674433,0.926425506,0.886572655,0.900061312,0.893316983,0.923359902,0.910484365,0.891477621,0.917841815,0.889638259,0.912323728,0.910484365,0.924586143,0.912323728,0.892703863,0.887185776,0.862047823,0.876762722,0.809319436,0.803188228,0.746781116,0.665849172,0.627222563,0.627222563,0.583690987,0.498467198,0.4218271,0.39852851,0.283261803,0.182709994,0.091354997,0,0.030042918,0.125689761,0.263028817,0.391784181,0.478234212,0.576333538,0.600245248,0.654199877,0.688534641,0.716125077,0.732679338,0.746781116,0.727774372,0.783568363,0.760269773,0.772532189,0.790925812,0.766400981,0.776824034,0.814224402,0.797670141,0.803801349,0.809319436,0.810545677,0.801348866,0.809319436,0.798896383,0.779276517,0.761496015,0.695892091,0.708154506,0.622930717,0.572654813,0.470876763,0.331085224,0.189454323,0.215205395,0.290006131,0.280196199,0.202329859,0.171060699,0.160024525,0.176578786,0.220723483,0.231146536,0.247087676,0.32004905,0.338442673,0.400980993,0.434089516,0.46106683,0.505824647,0.549356223,0.567136726,0.556713673,0.59411404,0.644389945,0.62477008,0.629675046,0.661557327,0.650521153,0.611894543,0.628448804,0.634580012,0.600858369,0.586756591,0.6253832,0.657878602,0.671367259,0.689147762,0.702636419
HDPE,5,1,0.75410691,0.688917862,0.791395046,0.870143416,0.912385919,0.945241199,0.940547588,1,0.973402868,0.994263364,0.984354628,0.977314211,0.995045632,0.959322034,0.959061278,0.969491525,0.930899609,0.923076923,0.902998696,0.898044329,0.892568449,0.865710561,0.84797914,0.863102999,0.861277705,0.871447197,0.892568449,0.871707953,0.880573664,0.873533246,0.892307692,0.883702738,0.869621904,0.893089961,0.874315515,0.891003911,0.888917862,0.900130378,0.896219035,0.889439374,0.88422425,0.863624511,0.86440678,0.801825293,0.778617992,0.718383312,0.627900913,0.528813559,0.519947849,0.49934811,0.421121252,0.343937419,0.328552803,0.238591917,0.150195567,0.076140808,0.003129074,0,0.039634941,0.134289439,0.242242503,0.331160365,0.426336375,0.468318123,0.525684485,0.560104302,0.593481095,0.60756193,0.623468057,0.614602347,0.649543677,0.632594524,0.637027379,0.646414602,0.625554107,0.628943937,0.647457627,0.630769231,0.628943937,0.622425033,0.615123859,0.597392438,0.594002608,0.574967405,0.55410691,0.538722295,0.492046936,0.491525424,0.431029987,0.393481095,0.331421121,0.249022164,0.153585398,0.108996089,0.164797914,0.182007823,0.148109518,0.112385919,0.095436767,0.099869622,0.128292047,0.134028683,0.13220339,0.178878748,0.190352021,0.228683181,0.247196871,0.265710561,0.29178618,0.322033898,0.338461538,0.335071708,0.357757497,0.389569752,0.378878748,0.38696219,0.409126467,0.40547588,0.385136897,0.400782269,0.404172099,0.384093872,0.373142112,0.386179922,0.408865711,0.426857888,0.443546284,0.457887875
HDPE,5,2,0.744939271,0.716194332,0.829554656,0.894736842,0.927125506,0.949797571,0.937651822,1,0.971255061,0.98582996,0.978947368,0.969635628,0.986639676,0.951417004,0.951012146,0.959919028,0.917408907,0.914979757,0.903643725,0.893117409,0.890688259,0.86194332,0.851821862,0.870850202,0.865587045,0.87611336,0.896761134,0.872469636,0.880161943,0.870040486,0.891902834,0.885020243,0.870040486,0.891902834,0.871659919,0.891093117,0.888259109,0.899190283,0.892712551,0.884210526,0.879757085,0.853036437,0.850607287,0.788663968,0.767611336,0.703238866,0.596356275,0.535222672,0.543319838,0.500809717,0.414979757,0.355465587,0.329554656,0.225506073,0.134817814,0.063967611,0,0.017408907,0.087044534,0.191497976,0.305263158,0.384210526,0.473279352,0.508502024,0.556275304,0.587854251,0.616194332,0.627530364,0.640080972,0.626720648,0.66194332,0.642510121,0.648987854,0.65708502,0.633603239,0.637651822,0.65708502,0.63805668,0.634817814,0.627125506,0.622267206,0.602024291,0.59757085,0.57854251,0.555870445,0.536032389,0.485020243,0.482995951,0.417004049,0.379352227,0.308906883,0.214574899,0.118623482,0.129959514,0.177327935,0.176518219,0.126315789,0.106072874,0.093927126,0.101214575,0.130364372,0.13562753,0.139676113,0.188259109,0.19757085,0.233198381,0.253846154,0.271659919,0.300809717,0.327935223,0.339676113,0.331578947,0.357489879,0.389068826,0.376923077,0.379757085,0.404453441,0.397975709,0.374089069,0.388259109,0.395546559,0.371659919,0.361133603,0.389473684,0.408906883,0.420242915,0.436032389,0.451012146
HDPE,5,3,0.741694104,0.726429213,0.829991021,0.896737504,0.937743191,0.958695001,0.953606705,1,0.984136486,0.995809638,0.988925471,0.983238551,0.995211015,0.965579168,0.963483987,0.967375037,0.931457647,0.923675546,0.912601018,0.904818916,0.896737504,0.869799461,0.859622867,0.87518707,0.872792577,0.884166417,0.901227177,0.884465729,0.890751272,0.885962287,0.901227177,0.895240946,0.885662975,0.900927866,0.888656091,0.901526489,0.900329243,0.908410655,0.904220293,0.898832685,0.89224783,0.868302903,0.858724933,0.799760551,0.773720443,0.70517809,0.594432805,0.528284945,0.533373242,0.491768931,0.408560311,0.348697995,0.318467525,0.216701586,0.128105358,0.056869201,0,0.015564202,0.083807243,0.187668363,0.296019156,0.378928465,0.464830889,0.504340018,0.553726429,0.586950015,0.6123915,0.627057767,0.641125412,0.630948818,0.658784795,0.646812332,0.650703382,0.655492368,0.640227477,0.641125412,0.654893744,0.6408261,0.638132296,0.630948818,0.623466028,0.604609398,0.597126609,0.579167914,0.557916791,0.537264292,0.492966178,0.480395091,0.41963484,0.376833283,0.305597127,0.214905717,0.117330141,0.130799162,0.178689015,0.174498653,0.127506735,0.103561808,0.095480395,0.102663873,0.125710865,0.129302604,0.137384017,0.178689015,0.188266986,0.220891949,0.237653397,0.260700389,0.285842562,0.313079916,0.323855133,0.320862017,0.34211314,0.368452559,0.361867704,0.367255313,0.3876085,0.382520204,0.365758755,0.376533972,0.379527088,0.357677342,0.349296618,0.375636037,0.39688716,0.406764442,0.423226579,0.436994912
HDPE,7,1,0.742389729,0.702008697,0.803064817,0.878649824,0.923793746,0.952578174,0.950093187,0.999378753,0.978670532,0.995444191,0.989852972,0.984261752,1,0.974114724,0.973700559,0.985297163,0.9569269,0.951749845,0.938289501,0.936011597,0.932905363,0.914267964,0.902671361,0.919030855,0.920480431,0.933319528,0.956098571,0.943259474,0.956098571,0.955477324,0.976392628,0.97287223,0.963760613,0.983226341,0.968109339,0.981362601,0.979498861,0.986746738,0.983640505,0.978256368,0.974528888,0.95879064,0.96065438,0.909505074,0.891903086,0.841375026,0.762269621,0.670118037,0.664112653,0.647338994,0.574031891,0.497618555,0.476910333,0.374404639,0.253468627,0.130461793,0.015324084,0,0.082832885,0.243735763,0.397804929,0.511078898,0.615655415,0.669703872,0.728929385,0.770967074,0.80803479,0.828743011,0.850072479,0.850486643,0.887968524,0.881134811,0.893766825,0.907434251,0.901014703,0.911782978,0.937461172,0.935183268,0.945537378,0.949679023,0.954856078,0.951128598,0.957133982,0.953820667,0.946158625,0.939946159,0.906191758,0.902671361,0.843238766,0.791468213,0.708635328,0.593083454,0.430938082,0.358252226,0.466349141,0.496376061,0.446055084,0.380617105,0.367570926,0.377925036,0.418098985,0.431352247,0.442534686,0.505901843,0.535100435,0.584800166,0.615241251,0.647131911,0.6891696,0.736384345,0.764754608,0.771174156,0.79871609,0.835369642,0.830606751,0.840339615,0.865396562,0.860633672,0.842410437,0.852350383,0.85110789,0.82957134,0.81176227,0.820459723,0.851729136,0.881134811,0.901635949,0.91944502
HDPE,7,2,0.730988593,0.718314322,0.830164766,0.899239544,0.93409379,0.957858048,0.947718631,1,0.978453739,0.991761724,0.985424588,0.979404309,0.995564005,0.967046895,0.966730038,0.978136882,0.944233207,0.942648923,0.932192649,0.92712294,0.924904943,0.903992395,0.896070976,0.916032953,0.914448669,0.926806084,0.950570342,0.936945501,0.947401774,0.94581749,0.966413181,0.963244613,0.95278834,0.972116603,0.957541191,0.970532319,0.967680608,0.978770596,0.972116603,0.963878327,0.959442332,0.940747782,0.939163498,0.885297845,0.866603295,0.807351077,0.705323194,0.643852978,0.654309252,0.615019011,0.529784537,0.468948035,0.437579214,0.31495564,0.19581749,0.08460076,0,0.023447402,0.134664132,0.289607098,0.428707224,0.52851711,0.627376426,0.673320659,0.729087452,0.76774398,0.801013942,0.822560203,0.839670469,0.837769328,0.875792142,0.865019011,0.879277567,0.893536122,0.883396705,0.895754119,0.921419518,0.917617237,0.925538657,0.931558935,0.936311787,0.932192649,0.938212928,0.933776933,0.922370089,0.913181242,0.874841572,0.866920152,0.796577947,0.739543726,0.642902408,0.509505703,0.346958175,0.378010139,0.464512041,0.460709759,0.389416984,0.35139417,0.345690748,0.362484157,0.401457541,0.413814956,0.436945501,0.499683143,0.525348542,0.5747782,0.607097592,0.644169835,0.689163498,0.73225602,0.756020279,0.759505703,0.788973384,0.826045627,0.820975919,0.829531052,0.849493029,0.843155894,0.823193916,0.830798479,0.83365019,0.807351077,0.78643853,0.816856781,0.851077313,0.871989861,0.890367554,0.906844106
HDPE,7,3,0.728641457,0.710434174,0.825980392,0.897759104,0.93487395,0.954831933,0.945028011,1,0.974789916,0.992647059,0.983893557,0.979341737,0.991946779,0.962535014,0.964285714,0.976540616,0.941876751,0.93977591,0.929621849,0.922969188,0.921918768,0.899859944,0.893907563,0.913165266,0.914215686,0.927871148,0.950980392,0.93522409,0.947478992,0.943977591,0.966736695,0.960434174,0.949229692,0.971638655,0.953081232,0.968487395,0.964985994,0.975490196,0.969187675,0.960784314,0.956932773,0.93557423,0.93837535,0.880952381,0.865196078,0.804271709,0.704481793,0.642857143,0.654761905,0.614845938,0.529061625,0.468487395,0.43767507,0.31547619,0.196078431,0.087535014,0,0.023809524,0.134803922,0.287464986,0.428221289,0.528361345,0.62710084,0.671568627,0.728641457,0.767857143,0.799019608,0.820028011,0.837885154,0.834033613,0.875,0.863095238,0.87535014,0.890756303,0.879901961,0.891806723,0.919117647,0.913515406,0.922969188,0.930322129,0.933823529,0.930322129,0.93522409,0.931722689,0.920168067,0.910364146,0.870448179,0.865196078,0.791666667,0.739145658,0.640406162,0.509103641,0.349439776,0.37745098,0.463235294,0.458683473,0.389355742,0.351890756,0.345588235,0.362044818,0.400210084,0.412114846,0.43627451,0.50035014,0.525210084,0.576330532,0.607492997,0.642156863,0.68872549,0.733193277,0.755252101,0.757703081,0.789565826,0.825280112,0.818977591,0.827030812,0.851190476,0.842436975,0.821078431,0.828431373,0.831932773,0.805322129,0.785364146,0.815826331,0.849439776,0.869047619,0.890406162,0.905112045
HDPE,8,1,0.787218323,0.752308829,0.838751385,0.90118212,0.937199852,0.960657554,0.957702253,1,0.982268194,0.99649058,0.987809383,0.982822313,0.997044699,0.972663465,0.972294052,0.982083487,0.956594016,0.953084595,0.940155153,0.93830809,0.938123384,0.921499815,0.911156262,0.923162172,0.924455116,0.935352789,0.952530477,0.941263391,0.951052826,0.948651644,0.968230513,0.961765792,0.953823421,0.970631696,0.956039897,0.967861101,0.965275212,0.97192464,0.967861101,0.959918729,0.953638714,0.938862209,0.93830809,0.887329147,0.865903214,0.817140746,0.742149982,0.656630957,0.642039158,0.617288511,0.539896564,0.45437754,0.418729221,0.323605467,0.212966383,0.10583672,0.009604728,0,0.067602512,0.210565201,0.358699668,0.472294052,0.576468415,0.633357961,0.692648689,0.734577023,0.770225342,0.791651274,0.811599557,0.813077207,0.847247876,0.84152198,0.852973772,0.865164389,0.857776136,0.868673809,0.891023273,0.887698559,0.896564463,0.898780938,0.902659771,0.898411526,0.902844477,0.896933875,0.885851496,0.872367935,0.830624307,0.82046546,0.754710011,0.693756926,0.603066125,0.479682305,0.320280754,0.258404137,0.360177318,0.385482083,0.330070188,0.272257111,0.261544145,0.273550055,0.307720724,0.321388992,0.335426672,0.396933875,0.426856298,0.477650536,0.510158847,0.543960103,0.586996675,0.633542667,0.662910972,0.673069819,0.701514592,0.735869967,0.734392316,0.743997045,0.765053565,0.762098264,0.746028814,0.754894717,0.752862948,0.731252309,0.717029922,0.723864056,0.755818249,0.784263022,0.804211304,0.820650166
